date,division,inflation_yoy,inflation_mom,year,month,division_label
1998-10-01,01,8.5,0.1,1998,10,Food & Non-Alcoholic Beverages
1998-11-01,01,9.7,1.3,1998,11,Food & Non-Alcoholic Beverages
1998-12-01,01,8.7,0.3,1998,12,Food & Non-Alcoholic Beverages
1999-01-01,01,9.0,2.1,1999,1,Food & Non-Alcoholic Beverages
1999-02-01,01,6.4,0.3,1999,2,Food & Non-Alcoholic Beverages
1999-03-01,01,4.5,-0.8,1999,3,Food & Non-Alcoholic Beverages
1999-04-01,01,4.6,0.6,1999,4,Food & Non-Alcoholic Beverages
1999-05-01,01,4.9,0.6,1999,5,Food & Non-Alcoholic Beverages
1999-06-01,01,3.3,-0.1,1999,6,Food & Non-Alcoholic Beverages
1999-07-01,01,4.3,0.1,1999,7,Food & Non-Alcoholic Beverages
1999-08-01,01,4.0,-0.5,1999,8,Food & Non-Alcoholic Beverages
1999-09-01,01,3.9,0.0,1999,9,Food & Non-Alcoholic Beverages
1999-10-01,01,3.6,-0.1,1999,10,Food & Non-Alcoholic Beverages
1999-11-01,01,3.0,0.7,1999,11,Food & Non-Alcoholic Beverages
1999-12-01,01,5.1,2.3,1999,12,Food & Non-Alcoholic Beverages
2000-01-01,01,3.0,0.1,2000,1,Food & Non-Alcoholic Beverages
2000-02-01,01,2.5,-0.3,2000,2,Food & Non-Alcoholic Beverages
2000-03-01,01,2.9,-0.4,2000,3,Food & Non-Alcoholic Beverages
2000-04-01,01,2.2,-0.1,2000,4,Food & Non-Alcoholic Beverages
2000-05-01,01,1.8,0.1,2000,5,Food & Non-Alcoholic Beverages
2000-06-01,01,1.9,0.0,2000,6,Food & Non-Alcoholic Beverages
2000-07-01,01,1.8,0.0,2000,7,Food & Non-Alcoholic Beverages
2000-08-01,01,1.9,-0.4,2000,8,Food & Non-Alcoholic Beverages
2000-09-01,01,1.8,-0.1,2000,9,Food & Non-Alcoholic Beverages
2000-10-01,01,1.9,0.0,2000,10,Food & Non-Alcoholic Beverages
2000-11-01,01,1.2,0.0,2000,11,Food & Non-Alcoholic Beverages
2000-12-01,01,0.1,1.2,2000,12,Food & Non-Alcoholic Beverages
2001-01-01,01,0.5,0.5,2001,1,Food & Non-Alcoholic Beverages
2001-02-01,01,0.7,-0.1,2001,2,Food & Non-Alcoholic Beverages
2001-03-01,01,0.7,-0.4,2001,3,Food & Non-Alcoholic Beverages
2001-04-01,01,0.7,-0.1,2001,4,Food & Non-Alcoholic Beverages
2001-05-01,01,0.8,0.3,2001,5,Food & Non-Alcoholic Beverages
2001-06-01,01,0.5,-0.3,2001,6,Food & Non-Alcoholic Beverages
2001-07-01,01,0.4,-0.1,2001,7,Food & Non-Alcoholic Beverages
2001-08-01,01,0.4,-0.4,2001,8,Food & Non-Alcoholic Beverages
2001-09-01,01,1.1,0.5,2001,9,Food & Non-Alcoholic Beverages
2001-10-01,01,0.5,-0.5,2001,10,Food & Non-Alcoholic Beverages
2001-11-01,01,1.2,0.7,2001,11,Food & Non-Alcoholic Beverages
2001-12-01,01,0.4,0.4,2001,12,Food & Non-Alcoholic Beverages
2002-01-01,01,0.4,0.5,2002,1,Food & Non-Alcoholic Beverages
2002-02-01,01,0.9,0.4,2002,2,Food & Non-Alcoholic Beverages
2002-03-01,01,0.5,-0.8,2002,3,Food & Non-Alcoholic Beverages
2002-04-01,01,0.4,-0.3,2002,4,Food & Non-Alcoholic Beverages
2002-05-01,01,0.0,-0.1,2002,5,Food & Non-Alcoholic Beverages
2002-06-01,01,0.7,0.4,2002,6,Food & Non-Alcoholic Beverages
2002-07-01,01,0.7,-0.1,2002,7,Food & Non-Alcoholic Beverages
2002-08-01,01,1.1,0.0,2002,8,Food & Non-Alcoholic Beverages
2002-09-01,01,0.5,0.0,2002,9,Food & Non-Alcoholic Beverages
2002-10-01,01,0.9,-0.1,2002,10,Food & Non-Alcoholic Beverages
2002-11-01,01,0.9,0.7,2002,11,Food & Non-Alcoholic Beverages
2002-12-01,01,1.2,0.7,2002,12,Food & Non-Alcoholic Beverages
2003-01-01,01,3.6,2.9,2003,1,Food & Non-Alcoholic Beverages
2003-02-01,01,3.3,0.1,2003,2,Food & Non-Alcoholic Beverages
2003-03-01,01,2.9,-1.1,2003,3,Food & Non-Alcoholic Beverages
2003-04-01,01,2.9,-0.3,2003,4,Food & Non-Alcoholic Beverages
2003-05-01,01,2.4,-0.6,2003,5,Food & Non-Alcoholic Beverages
2003-06-01,01,0.9,-1.0,2003,6,Food & Non-Alcoholic Beverages
2003-07-01,01,1.3,0.3,2003,7,Food & Non-Alcoholic Beverages
2003-08-01,01,0.4,-0.9,2003,8,Food & Non-Alcoholic Beverages
2003-09-01,01,0.3,-0.1,2003,9,Food & Non-Alcoholic Beverages
2003-10-01,01,0.1,-0.3,2003,10,Food & Non-Alcoholic Beverages
2003-11-01,01,-1.3,-0.8,2003,11,Food & Non-Alcoholic Beverages
2003-12-01,01,-2.2,-0.3,2003,12,Food & Non-Alcoholic Beverages
2004-01-01,01,-0.4,4.8,2004,1,Food & Non-Alcoholic Beverages
2004-02-01,01,-0.5,0.0,2004,2,Food & Non-Alcoholic Beverages
2004-03-01,01,0.4,-0.3,2004,3,Food & Non-Alcoholic Beverages
2004-04-01,01,1.0,0.4,2004,4,Food & Non-Alcoholic Beverages
2004-05-01,01,1.7,0.0,2004,5,Food & Non-Alcoholic Beverages
2004-06-01,01,2.6,-0.1,2004,6,Food & Non-Alcoholic Beverages
2004-07-01,01,2.4,0.0,2004,7,Food & Non-Alcoholic Beverages
2004-08-01,01,3.0,-0.3,2004,8,Food & Non-Alcoholic Beverages
2004-09-01,01,2.9,-0.3,2004,9,Food & Non-Alcoholic Beverages
2004-10-01,01,3.9,0.6,2004,10,Food & Non-Alcoholic Beverages
2004-11-01,01,4.6,-0.1,2004,11,Food & Non-Alcoholic Beverages
2004-12-01,01,5.1,0.3,2004,12,Food & Non-Alcoholic Beverages
2005-01-01,01,2.3,2.0,2005,1,Food & Non-Alcoholic Beverages
2005-02-01,01,2.3,0.0,2005,2,Food & Non-Alcoholic Beverages
2005-03-01,01,2.7,0.1,2005,3,Food & Non-Alcoholic Beverages
2005-04-01,01,2.8,0.5,2005,4,Food & Non-Alcoholic Beverages
2005-05-01,01,3.2,0.4,2005,5,Food & Non-Alcoholic Beverages
2005-06-01,01,3.8,0.5,2005,6,Food & Non-Alcoholic Beverages
2005-07-01,01,3.6,-0.2,2005,7,Food & Non-Alcoholic Beverages
2005-08-01,01,4.2,0.4,2005,8,Food & Non-Alcoholic Beverages
2005-09-01,01,4.8,0.2,2005,9,Food & Non-Alcoholic Beverages
