date,division,inflation_yoy,inflation_mom,year,month,division_label
2004-06-01,overall,1.2,-0.1,2004,6,Overall CPI
2004-07-01,overall,1.3,0.0,2004,7,Overall CPI
2004-08-01,overall,2.0,-0.4,2004,8,Overall CPI
2004-09-01,overall,2.4,0.4,2004,9,Overall CPI
2004-10-01,overall,3.3,0.4,2004,10,Overall CPI
2004-11-01,overall,3.6,-0.1,2004,11,Overall CPI
2004-12-01,overall,3.9,-0.2,2004,12,Overall CPI
2005-01-01,overall,1.6,1.6,2005,1,Overall CPI
2005-02-01,overall,1.6,0.1,2005,2,Overall CPI
2005-03-01,overall,1.9,0.0,2005,3,Overall CPI
2005-04-01,overall,1.9,0.2,2005,4,Overall CPI
2005-05-01,overall,2.7,0.8,2005,5,Overall CPI
2005-06-01,overall,2.9,0.1,2005,6,Overall CPI
2005-07-01,overall,2.9,0.0,2005,7,Overall CPI
2005-08-01,overall,4.0,0.7,2005,8,Overall CPI
2005-09-01,overall,3.9,0.2,2005,9,Overall CPI
2005-10-01,overall,3.7,0.2,2005,10,Overall CPI
2005-11-01,overall,4.2,0.3,2005,11,Overall CPI
2005-12-01,overall,4.6,0.1,2005,12,Overall CPI
2006-01-01,overall,3.2,0.3,2006,1,Overall CPI
2006-02-01,overall,3.2,0.1,2006,2,Overall CPI
2006-03-01,overall,4.7,1.5,2006,3,Overall CPI
2006-04-01,overall,4.5,0.0,2006,4,Overall CPI
2006-05-01,overall,3.9,0.2,2006,5,Overall CPI
2006-06-01,overall,4.0,0.2,2006,6,Overall CPI
2006-07-01,overall,4.1,0.1,2006,7,Overall CPI
2006-08-01,overall,3.3,-0.1,2006,8,Overall CPI
2006-09-01,overall,3.3,0.2,2006,9,Overall CPI
2006-10-01,overall,3.0,0.0,2006,10,Overall CPI
2006-11-01,overall,3.0,0.3,2006,11,Overall CPI
2006-12-01,overall,3.1,0.2,2006,12,Overall CPI
2007-01-01,overall,3.2,0.4,2007,1,Overall CPI
2007-02-01,overall,3.1,0.0,2007,2,Overall CPI
2007-03-01,overall,1.5,-0.1,2007,3,Overall CPI
2007-04-01,overall,1.5,0.0,2007,4,Overall CPI
2007-05-01,overall,1.4,0.1,2007,5,Overall CPI
2007-06-01,overall,1.4,0.2,2007,6,Overall CPI
2007-07-01,overall,1.6,0.3,2007,7,Overall CPI
2007-08-01,overall,2.0,0.2,2007,8,Overall CPI
2007-09-01,overall,1.9,0.1,2007,9,Overall CPI
2007-10-01,overall,2.0,0.1,2007,10,Overall CPI
2007-11-01,overall,2.3,0.6,2007,11,Overall CPI
2007-12-01,overall,2.3,0.2,2007,12,Overall CPI
2008-01-01,overall,2.3,0.4,2008,1,Overall CPI
2008-02-01,overall,2.6,0.3,2008,2,Overall CPI
2008-03-01,overall,2.7,0.0,2008,3,Overall CPI
2008-04-01,overall,3.0,0.3,2008,4,Overall CPI
2008-05-01,overall,3.8,0.8,2008,5,Overall CPI
2008-06-01,overall,7.7,4.0,2008,6,Overall CPI
2008-07-01,overall,8.5,1.1,2008,7,Overall CPI
2008-08-01,overall,8.5,0.2,2008,8,Overall CPI
2008-09-01,overall,8.2,-0.2,2008,9,Overall CPI
2008-10-01,overall,7.6,-0.4,2008,10,Overall CPI
2008-11-01,overall,5.7,-1.2,2008,11,Overall CPI
2008-12-01,overall,4.5,-0.9,2008,12,Overall CPI
2009-01-01,overall,3.9,-0.1,2009,1,Overall CPI
2009-02-01,overall,3.8,0.2,2009,2,Overall CPI
2009-03-01,overall,3.6,-0.2,2009,3,Overall CPI
2009-04-01,overall,3.1,-0.2,2009,4,Overall CPI
2009-05-01,overall,2.4,0.2,2009,5,Overall CPI
2009-06-01,overall,-1.4,0.1,2009,6,Overall CPI
2009-07-01,overall,-2.4,0.1,2009,7,Overall CPI
