date,state,district,income_mean,income_median,expenditure_mean,gini,poverty,year,savings_rate,income_expenditure_ratio
2022-01-01,Sarawak,Mukah,5962,4623,3615,0.38637,14.0,2022,39.3659845689366,1.6492392807745504
2022-01-01,Sarawak,Kanowit,3711,2648,2940,0.38573,24.9,2022,20.776071139854487,1.2622448979591836
2022-01-01,Sarawak,Bintulu,9645,8567,4990,0.31769,3.5,2022,48.26334888543287,1.9328657314629258
2022-01-01,Sarawak,Tatau,5617,4787,3066,0.30337,5.9,2022,45.415702332205804,1.8320287018917156
2022-01-01,Sarawak,Kapit,4053,2902,3315,0.36644,20.6,2022,18.208734270910437,1.2226244343891404
2022-01-01,Sarawak,Song,3477,2926,2841,0.32162,15.8,2022,18.2916307161346,1.2238648363252376
2022-01-01,Sarawak,Belaga,4239,3587,2224,0.3296,19.5,2022,47.53479594243926,1.9060251798561152
2022-01-01,Sarawak,Miri,7932,6449,4333,0.34218,6.3,2022,45.37317196167423,1.830602354027233
2022-01-01,Sarawak,Marudi,5373,4234,2557,0.3613,12.9,2022,52.41019914386749,2.101290574892452
2022-01-01,Sarawak,Limbang,5148,4023,3184,0.351,14.6,2022,38.15073815073815,1.6168341708542713
2022-01-01,Sarawak,Lawas,4476,3183,2934,0.40603,18.1,2022,34.45040214477212,1.525562372188139
2022-01-01,Sarawak,Matu,4362,3354,2811,0.36885,20.8,2022,35.557083906464925,1.551760939167556
2022-01-01,Sarawak,Asajaya,4557,3929,3039,0.30135,17.9,2022,33.31138907175774,1.4995064165844028
2022-01-01,Sarawak,Pakan,3936,3546,3076,0.31229,17.6,2022,21.84959349593496,1.2795838751625488
2022-01-01,Sarawak,Selangau,4128,3005,2798,0.39312,19.6,2022,32.218992248062015,1.4753395282344532
2022-01-01,Sarawak,Tebedu,3218,2579,2397,0.31153,26.9,2022,25.51274083281541,1.342511472674176
2022-01-01,Sarawak,Pusa,3395,3124,2389,0.22517,17.2,2022,29.631811487481592,1.4210966931770614
2022-01-01,Sarawak,Kabong,4002,3500,3215,0.3136,8.6,2022,19.665167416291855,1.2447900466562987
2022-01-01,Sarawak,Tanjung Manis,4017,3300,2899,0.33376,20.7,2022,27.831715210355988,1.3856502242152466
2022-01-01,Sarawak,Sebauh,5120,4428,2660,0.30347,4.8,2022,48.046875,1.9248120300751879
2022-01-01,Sarawak,Bukit Mabong,3509,2948,2853,0.29711,8.2,2022,18.694784838985466,1.2299334034349807
2022-01-01,Sarawak,Subis,6390,5194,2756,0.34086,4.7,2022,56.87010954616588,2.318577648766328
2022-01-01,Sarawak,Beluru,4873,4164,2386,0.30156,13.7,2022,51.03632259388468,2.0423302598491198
2022-01-01,Sarawak,Telang Usan,4692,3870,2578,0.31077,6.0,2022,45.055413469735726,1.8200155159038014
2022-01-01,W.P. Kuala Lumpur,W.P. Kuala Lumpur,13325,10234,7823,0.3796,1.4,2022,41.290806754221386,1.7033107503515275
2022-01-01,W.P. Labuan,W.P. Labuan,8250,6904,4176,0.30028,2.5,2022,49.38181818181818,1.9755747126436782
2022-01-01,W.P. Putrajaya,W.P. Putrajaya,13473,10056,8897,0.3678,0.1,2022,33.964224745787874,1.5143306732606496
